t,f
0.0, 0.0
1.0, 0.009639117991802986
2.0, 0.01861979072341247
3.0, 0.027031405839650108
4.0, 0.0349560313985466
5.0, 0.04246864451160642
6.0, 0.04963741653689199
7.0, 0.05652403877519831
8.0, 0.0631840754681507
9.0, 0.06966733331973766
10.0, 0.07601823881757563
11.0, 0.08227621636763842
12.0, 0.08847606172041657
13.0, 0.09464830639570619
14.0, 0.10081956984089979
15.0, 0.10701289691257221
16.0, 0.11324807897848425
17.0, 0.11954195751856869
18.0, 0.12590870957780897
19.0, 0.13236011480741255
20.0, 0.13890580413738846
21.0, 0.14555349036551798
22.0, 0.1523091811352905
23.0, 0.15917737491742828
24.0, 0.16616124071391694
25.0, 0.17326278227641922
26.0, 0.18048298767819032
27.0, 0.18782196510492075
28.0, 0.195279065739213
29.0, 0.2028529946092052
30.0, 0.21054191025690155
31.0, 0.2183435140586201
32.0, 0.2262551300005148
33.0, 0.2342737756781156
34.0, 0.24239622525162735
35.0, 0.25061906504948933
36.0, 0.2589387424723411
37.0, 0.26735160880880754
38.0, 0.2758539565340643
39.0, 0.2844420516223542
40.0, 0.29311216136600543
41.0, 0.30186057815613143
42.0, 0.3106836396445115
43.0, 0.31957774567207503
44.0, 0.3285393723172202
45.0, 0.3375650833867784
46.0, 0.34665153964394335
47.0, 0.35579550604082205
48.0, 0.3649938571983989
49.0, 0.3742435813536564
50.0, 0.3835417829722289
51.0, 0.39288568420522507
52.0, 0.4022726253507324
53.0, 0.4117000644638091
54.0, 0.4211655762434874
55.0, 0.430666850311377
56.0, 0.44020168898368367
57.0, 0.4497680046268915
58.0, 0.45936381667681464
59.0, 0.46898724839121947
60.0, 0.4786365233975761
61.0, 0.48863454252341904
62.0, 0.49863238878782123
63.0, 0.5086300507371392
64.0, 0.5186275164064647
65.0, 0.5286247733090718
66.0, 0.5386218084260502
67.0, 0.5486186081961135
68.0, 0.5586151585056022
69.0, 0.5686114446786849
70.0, 0.5786074514677696
71.0, 0.5886031630441053
72.0, 0.5985985629886224
73.0, 0.6085936342829771
74.0, 0.6185883593008233
75.0, 0.6285827197993188
76.0, 0.6385766969108556
77.0, 0.6485702711350357
78.0, 0.6585634223308785
79.0, 0.6685561297092754
80.0, 0.6785483718256934
81.0, 0.6885401265731171
82.0, 0.6985313711752514
83.0, 0.7085220821799738
84.0, 0.7185122354530344
85.0, 0.7285018061720243
86.0, 0.7384907688205901
87.0, 0.7484790971829105
88.0, 0.7584667643384377
89.0, 0.7684537426568895
90.0, 0.7784400037935069
91.0, 0.7884255186845713
92.0, 0.7984102575431858
93.0, 0.8083941898553094
94.0, 0.8183772843760598
95.0, 0.828359509126274
96.0, 0.8383408313893217
97.0, 0.84832121770819
98.0, 0.8583006338828123
99.0, 0.8682790449676671
100.0, 0.8782564152696194
101.0, 0.8882327083460299
102.0, 0.8982078870031038
103.0, 0.9081819132945035
104.0, 0.9181547485202018
105.0, 0.928126353225587
106.0, 0.938096687200813
107.0, 0.9480657094803968
108.0, 0.9580333783430541
109.0, 0.9679996513117751
110.0, 0.9779644851541426
111.0, 0.987927835882879
112.0, 0.9978896587566308
113.0, 1.0078499082809826
114.0, 1.0178085382096982
115.0, 1.0277655015461895
116.0, 1.0377207505452044
117.0, 1.0476742367147336
118.0, 1.057625910818145
119.0, 1.067575722876517
120.0, 1.0775236221711972
121.0, 1.0874695572465574
122.0, 1.0974134759129635
123.0, 1.1073553252499426
124.0, 1.1172950516095517
125.0, 1.12723260061994
126.0, 1.1371679171891087
127.0, 1.1471009455088559
128.0, 1.1570316290589095
129.0, 1.166959910611246
130.0, 1.1768857322345854
131.0, 1.1868090352990683
132.0, 1.1967297604810996
133.0, 1.20664784776837
134.0, 1.2165632364650394
135.0, 1.2264758651970862
136.0, 1.2363856719178135
137.0, 1.24629259391352
138.0, 1.2561965678093132
139.0, 1.2660975295750854
140.0, 1.2759954145316277
141.0, 1.2858901573568888
142.0, 1.2957816920923784
143.0, 1.3056699521497015
144.0, 1.315554870317233
145.0, 1.3254363787669154
146.0, 1.3353144090611875
147.0, 1.345188892160038
148.0, 1.3550597584281732
149.0, 1.364926937642308
150.0, 1.3747903589985682
151.0, 1.38464995112
152.0, 1.3945056420641935
153.0, 1.4043573593310006
154.0, 1.414205029870365
155.0, 1.424048580090236
156.0, 1.43388793586459
157.0, 1.4437230225415327
158.0, 1.4535537649514965
159.0, 1.463380087415513
160.0, 1.4732019137535812
161.0, 1.4830191672931
162.0, 1.492831770877386
163.0, 1.5026396468742556
164.0, 1.5124427171846884
165.0, 1.5222409032515405
166.0, 1.5320341260683377
167.0, 1.5418223061881169
168.0, 1.5516053637323324
169.0, 1.5613832183998126
170.0, 1.5711557894757706
171.0, 1.5809229958408673
172.0, 1.5906847559803114
173.0, 1.6004409879930108
174.0, 1.610191609600765
175.0, 1.6199365381574873
176.0, 1.6296756906584753
177.0, 1.6394089837497008
178.0, 1.649136333737139
179.0, 1.6588576565961222
180.0, 1.6685728679807175
181.0, 1.6782818832331288
182.0, 1.6879846173931192
183.0, 1.6976809852074484
184.0, 1.7073709011393265
185.0, 1.7170542793778847
186.0, 1.7267310338476474
187.0, 1.7364010782180226
188.0, 1.7460643259127895
189.0, 1.7557206901195999
190.0, 1.765370083799466
191.0, 1.7750124196962636
192.0, 1.7846476103462223
193.0, 1.794275568087414
194.0, 1.8038962050692324
195.0, 1.8135094332618682
196.0, 1.823115164465768
197.0, 1.83271331032108
198.0, 1.8423037823170898
199.0, 1.8518864918016367
200.0, 1.8614613499905057
201.0, 1.8710282679768102
202.0, 1.8805871567403427
203.0, 1.8901379271569005
204.0, 1.8996804900076016
205.0, 1.9092147559881427
206.0, 1.9187406357180645
207.0, 1.9282580397499538
208.0, 1.9377668785786355
209.0, 1.9472670626503137
210.0, 1.9567585023716934
211.0, 1.9662411081190478
212.0, 1.9757147902472665
213.0, 1.9851794590988396
214.0, 1.9946350250128266
215.0, 2.0040813983337573
216.0, 2.0135184894205125
217.0, 2.0229462086551333
218.0, 2.03236446645161
219.0, 2.0417731732646
220.0, 2.0511722371088146
221.0, 1.9149791150206612
222.0, 1.7877825405846468
223.0, 1.6691620036663555
224.0, 1.5586987208193288
225.0, 1.4559788045859552
226.0, 1.360595844289209
227.0, 1.2721529786649162
228.0, 1.1902645310088202
229.0, 1.1145572689231888
230.0, 1.0446713431278223
231.0, 0.9802609530456218
232.0, 0.9209947808900446
233.0, 0.8665562306869246
234.0, 0.8166435039814458
235.0, 0.7709695398452823
236.0, 0.7292618431491035
237.0, 0.6912622218480359
238.0, 0.6567264511942861
239.0, 0.6254238802990287
240.0, 0.5971369942765691
241.0, 0.5716609432834499
242.0, 0.5488030480830624
243.0, 0.5283822902952365
244.0, 0.5102287942059105
245.0, 0.4941833058927186
246.0, 0.4800966744488807
247.0, 0.4678293392430916
248.0, 0.45725082642175846
249.0, 0.4482392572286149
250.0, 0.44068087017315155
251.0, 0.43446955861299996
252.0, 0.4295064249167264
253.0, 0.4256993520341337
254.0, 0.422962593013659
255.0, 0.42121637876422585
256.0, 0.42038654415611426
257.0, 0.4204041723869239
258.0, 0.42120525740000403
259.0, 0.4227303840297581
260.0, 0.42492442545757375
261.0, 0.42773625749053
262.0, 0.43111848911997364
263.0, 0.4350272087759472
264.0, 0.43942174566436826
265.0, 0.4442644455548481
266.0, 0.44952046037659626
267.0, 0.45515755097655886
268.0, 0.46114590239653247
269.0, 0.46745795103352766
270.0, 0.47406822305913593
271.0, 0.4809531834883066
272.0, 0.4880910953051806
